idx,year,key,lex,max_toxicity_prob,sentiment,y_toxic,y_severe_toxic,y_obscene,y_threat,y_insult,y_identity_hate,detox_pred_toxic
0,2019,km kpn upload nude,False,0.8251267075538635,neutral,1,0,1,0,0,0,1
1,2016,xd 5k trash,True,0.8429377675056458,negative,1,0,0,0,1,0,1
2,2023,pls stop fucking us,True,0.991754412651062,negative,1,0,1,0,0,0,1
3,2023,puz1ch karaoke,False,0.7090135216712952,neutral,0,0,0,0,0,0,1
4,2018,ngeleg anjing,True,0.007925300858914852,negative,1,0,1,0,0,0,0
5,2025,sorry i meant shitstallis),True,0.5283169746398926,neutral,0,0,1,0,0,0,1
6,2025,nilabas yung puck luge,False,0.5050941109657288,neutral,0,0,0,0,0,0,1
7,2026,we didnt know,False,0.8581088781356812,neutral,0,0,0,0,0,0,1
8,2024,go buy smoke and hook mid blokcing creeps,False,0.6074786186218262,neutral,0,0,0,0,0,0,1
9,2016,airtel also shit,True,0.001660320209339261,negative,1,0,1,0,0,0,0
10,2021,no trash talk,True,0.5061794519424438,neutral,0,0,0,0,0,0,1
11,2023,gl tag from hell!!!,False,0.6938237547874451,neutral,0,0,0,0,0,0,1
12,2018,glhf pls go ez on us,False,0.6184360980987549,positive,0,0,0,0,0,0,1
13,2017,nope 2 peeing,False,0.9081695079803467,neutral,0,0,0,0,0,0,1
14,2024,husky murdering his brother,False,0.8195886611938477,neutral,0,0,0,0,0,0,1
15,2024,get these europeans ouyt of here,False,0.8480626940727234,negative,1,0,0,0,0,0,1
16,2025,all the bad bitches in my direction,True,0.9424256682395935,neutral,0,0,1,0,0,0,1
17,2024,what a zesty phraze skiter,False,0.8927274346351624,neutral,0,0,0,0,0,0,1
18,2026,el idiota,True,0.006637518294155598,negative,1,0,0,0,1,0,0
19,2020,bro wtf,False,0.8040188550949097,neutral,0,0,0,0,0,0,1
20,2023,bi batsaanaagiin couch ni bolii,False,0.7187983393669128,neutral,0,0,0,0,0,0,1
21,2022,OMGGGGGGGG,False,0.570144772529602,neutral,0,0,0,0,0,0,1
22,2023,gl hfhfhfhf hf glglglglg,False,0.6719974875450134,positive,0,0,0,0,0,0,1
23,2018,1 fak,False,0.7129159569740295,neutral,0,0,1,0,0,0,1
24,2021,GGGGG!,False,0.6147955060005188,positive,0,0,0,0,0,0,1
25,2020,rm goblok,True,0.0011767889373004436,negative,1,0,0,0,1,0,0
26,2024,fucked by zxcepreu,True,0.9927600622177124,negative,1,0,1,0,0,0,1
27,2018,FDASGLJFDSAKHLFG SDHKPJLOAG FSADKOHJL,False,0.6708647608757019,neutral,0,0,0,0,0,0,1
28,2022,pisdaaaaaaaaaaaaaaaaaaaaa,False,0.5655882358551025,neutral,1,0,1,0,0,0,1
29,2020,happy birthday brayant fuckboy,True,0.9909459352493286,neutral,1,0,1,0,1,0,1
30,2020,i was in bath,False,0.5104550719261169,neutral,0,0,0,0,0,0,1
31,2019,jan dipause bego,True,0.012567202560603619,negative,1,0,0,0,1,0,0
32,2019,kill gratis gua,False,0.8021401166915894,neutral,0,0,0,0,0,0,1
