idx,year,key,max_toxicity_prob,lex
0,2019,km kpn upload nude,0.8251267075538635,False
1,2016,xd 5k trash,0.8429377675056458,True
2,2023,pls stop fucking us,0.991754412651062,True
3,2023,puz1ch karaoke,0.7090135216712952,False
4,2018,ngeleg anjing,0.007925300858914852,True
5,2025,sorry i meant shitstallis),0.5283169746398926,True
6,2025,nilabas yung puck luge,0.5050941109657288,False
7,2026,we didnt know,0.8581088781356812,False
8,2024,go buy smoke and hook mid blokcing creeps,0.6074786186218262,False
9,2016,airtel also shit,0.001660320209339261,True
10,2021,no trash talk,0.5061794519424438,True
11,2023,gl tag from hell!!!,0.6938237547874451,False
12,2018,glhf pls go ez on us,0.6184360980987549,False
13,2017,nope 2 peeing,0.9081695079803467,False
14,2024,husky murdering his brother,0.8195886611938477,False
15,2024,get these europeans ouyt of here,0.8480626940727234,False
16,2025,all the bad bitches in my direction,0.9424256682395935,True
17,2024,what a zesty phraze skiter,0.8927274346351624,False
18,2026,el idiota,0.006637518294155598,True
19,2020,bro wtf,0.8040188550949097,False
20,2023,bi batsaanaagiin couch ni bolii,0.7187983393669128,False
21,2022,OMGGGGGGGG,0.570144772529602,False
22,2023,gl hfhfhfhf hf glglglglg,0.6719974875450134,False
23,2018,1 fak,0.7129159569740295,False
24,2021,GGGGG!,0.6147955060005188,False
25,2020,rm goblok,0.0011767889373004436,True
26,2024,fucked by zxcepreu,0.9927600622177124,True
27,2018,FDASGLJFDSAKHLFG SDHKPJLOAG FSADKOHJL,0.6708647608757019,False
28,2022,pisdaaaaaaaaaaaaaaaaaaaaa,0.5655882358551025,False
29,2020,happy birthday brayant fuckboy,0.9909459352493286,True
30,2020,i was in bath,0.5104550719261169,False
31,2019,jan dipause bego,0.012567202560603619,True
32,2019,kill gratis gua,0.8021401166915894,False
33,2023,he stupid?,0.0011215866543352604,True
34,2017,reestarting computer,0.7607090473175049,False
35,2018,semut kontol,0.004873932339251041,True
36,2021,takut kalaaah luruus lempeeng,0.5500322580337524,False
37,2022,r?,0.9081695079803467,False
38,2025,WOI CATA NYA MANA ANJING,0.01960037834942341,True
39,2023,i mean the majority of our pauses were because of their camera shit xd,0.004443628713488579,True
40,2024,niceplay noob,0.7495980858802795,True
41,2024,bullshit we banned ursa,0.980227530002594,False
42,2024,you guys are crazy,0.9416503310203552,False
43,2021,joget tiktok habis joget uncH,0.9385135769844055,False
44,2016,u too jugg,0.5408248901367188,False
45,2022,fuckin dog,0.9987491369247437,True
46,2016,go big or go home,0.5408248901367188,False
47,2026,all good,0.8581088781356812,False
48,2019,lama amat anjing stun siapa,0.08736556768417358,True
49,2019,kntl meksmun,0.18241864442825317,True
50,2016,some shit happens :O,0.9664594531059265,True
51,2021,cuma bisa KS,0.5662573575973511,False
52,2019,kau yg tolol,0.03817175328731537,True
53,2017,dickos shed for all your gaming needs,0.7945343852043152,True
54,2026,Wtf pota no hero,0.8292219042778015,False
55,2026,your welcome,0.5791516304016113,False
56,2023,a ya tebe pososi mask,0.5214976072311401,False
57,2026,our shitty captain sucked my cock yesterday,0.9960706233978271,True
58,2021,ni bi xu chigeli,0.5090683698654175,False
59,2019,CON TUS COSAS,0.7015380263328552,False
60,2026,oh fuck off bro,0.0009243296226486564,True
61,2022,yeah he noob,0.7506807446479797,True
62,2026,-shtraf admin invoker buyback 1$ justice 2026 shit league,0.8206881284713745,True
63,2025,bugger,0.6705382466316223,False
64,2018,kalo dikasih tau dengenrin ngentot,0.0899306908249855,True
65,2020,console users,0.9924622774124146,False
66,2025,whos chicken now,0.6067408323287964,False
67,2019,emng ank kntl,0.043593037873506546,True
68,2017,masih noob,0.09883391857147217,True
69,2021,ya podumau,0.6558631658554077,False
70,2018,sabar sateh goblok,0.0025416151620447636,True
71,2021,GL BRO i m noob,0.22710858285427094,True
72,2025,idk my zoomers spouting some shit all day,0.9871068596839905,True
73,2022,never trash talking you,0.7184405326843262,True
74,2020,fuck u crystallis dotaaaa,0.997857391834259,True
75,2022,jonel,0.840966522693634,False
76,2017,dw this shit isnt happening,0.047815799713134766,True
77,2023,at top,0.9081695079803467,False
78,2022,ramz detect memek eater,0.04373256489634514,True
79,2019,dont be mad pls,0.7179228067398071,False
80,2018,jadi gay,0.8484559655189514,True
81,2023,YA TVOUY FANAT!!!,0.7426208257675171,False
82,2025,do we have,0.9809045195579529,False
