match_id,time,player_slot,key,year,month,tier,leaguename,patch_name,phase,match_outcome_for_player,duration,match_minute,annotator_id,sentiment,tox_toxic,tox_severe_toxic,tox_obscene,tox_threat,tox_insult,tox_identity_hate,is_dota_jargon,is_ambiguous,notes,confidence_sentiment,conf_tox_toxic,conf_tox_severe_toxic,conf_tox_obscene,conf_tox_threat,conf_tox_insult,conf_tox_identity_hate,n_annotators
8728226716,1395.0,2.0,g,2026,3,Lainnya,,7.37,lainnya,loss,2417,23.25,AI,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"initiation/coordination call (""g""), Dota jargon untuk engage/attack",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
2129331355,1385.0,128.0,GG,2016,2,Lainnya,The BTS Series ,6.86,lainnya,win,1390,23.08,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"GG end-of-match (ratio=1.00), sportsmanship",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
4156957928,2844.0,2.0,gg,2018,10,Lainnya,YouTube SIVVIT - Big Russian Show,7.19,lainnya,loss,2841,47.4,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"GG end-of-match (ratio=1.00), sportsmanship",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
7585653190,2676.0,130.0,GG,2024,2,Lainnya,LATAM Rookie Challenge #10,7.35,lainnya,loss,2685,44.6,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"GG end-of-match (ratio=1.00), sportsmanship",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
7667495188,-83.0,1.0,glgl,2024,4,Lainnya,Elite League by FISSURE and ESB,7.35,lainnya,loss,2475,-1.38,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"sportsmanship ""good luck"" repetisi (""glgl"")",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
8172858030,2688.0,129.0,ty,2025,2,Lainnya,PGL Wallachia Season #4 SEA Closed Qualifiers,7.37,lainnya,win,2692,44.8,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"sportsmanship/sopan (""ty"")",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
2602770467,3222.0,1.0,AKWKAOKW,2016,8,Lainnya,DafaeSports Indonesia Series Presented by Eternal Gaming,6.88,lainnya,win,3215,53.7,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"tawa end-of-match (ratio=1.00), kemungkinan amusement / sarcasm akhir",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
5798981910,-87.0,2.0,sry ty,2021,1,Lainnya,Asian Blood Roded Championship,7.28,lainnya,win,1506,-1.45,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"sportsmanship compound (token: ty, msg: ""sry ty"")",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
2063202504,1186.0,128.0,g?,2016,1,Major,Winter Major 2016,6.86,lainnya,win,2067,19.77,AI,neutral,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"initiation/coordination call (""g?""), Dota jargon untuk engage/attack",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
5342150724,-21.0,1.0,glh F.,2020,4,Lainnya,Spring Championship by SaturnBet,7.25,lainnya,loss,2369,-0.35,AI,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"sportsmanship/sopan (""glh f."")",ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,ai_single,1
